group,item_level,material,expected_count
Armor,1,Enriched_Elunium,6.166667
Armor,1,HD_Elunium,3.678571
Armor,1,Jewel_Elunium,228.333333
Shadow_Armor,1,Jewel_Shadowdecon,237.178571
Shadow_Armor,1,Shadowdecon,1.000000
Shadow_Weapon,1,Bradium,1.000000
Shadow_Weapon,1,HD_Bradium,2127.589891
Weapon,1,Enriched_Oridecon,4.300366
Weapon,1,HD_Oridecon,3.426471
Weapon,1,Jewel_Oridecon,15.484848
Weapon,2,Enriched_Oridecon,5.316886
Weapon,2,HD_Oridecon,3.690502
Weapon,2,Jewel_Oridecon,25.322795
Weapon,3,Enriched_Oridecon,7.833333
Weapon,3,HD_Oridecon,4.095238
Weapon,3,Jewel_Oridecon,85.666667
Weapon,4,Enriched_Oridecon,9.079365
Weapon,4,HD_Oridecon,4.356643
Weapon,4,Jewel_Oridecon,231.666667
