group,item_level,material,expected_count
Armor,1,Elunium,7.500000
Armor,1,Enriched_Elunium,2.500000
Armor,1,HD_Elunium,5.333333
Armor,1,Jewel_Elunium,228.333333
Shadow_Armor,1,Jewel_Shadowdecon,230.833333
Shadow_Armor,1,Shadowdecon,12.666667
Shadow_Weapon,1,Bradium,7.822765
Shadow_Weapon,1,HD_Bradium,2123.166667
Weapon,1,Enriched_Oridecon,25.575758
Weapon,1,HD_Oridecon,14.825175
Weapon,1,Jewel_Oridecon,4.000000
Weapon,1,Oridecon,5.373907
Weapon,2,HD_Oridecon,9.428728
Weapon,2,Jewel_Oridecon,25.322795
Weapon,2,Oridecon,7.775807
Weapon,3,Enriched_Oridecon,5.833333
Weapon,3,HD_Oridecon,2.000000
Weapon,3,Jewel_Oridecon,85.666667
Weapon,3,Oridecon,9.166667
Weapon,4,Enriched_Oridecon,9.079365
Weapon,4,Jewel_Oridecon,231.666667
Weapon,4,Oridecon,7.254079
