source,group,item_level,refine_level,cost_type,bonus,random_bonus,blacksmith_blessing_amount,rate_10000,rate_percent,zeny,material,breaking_rate_10000,downgrade_amount
base,Armor,1,1,HD,50,0,0,10000,100.00,200,HD_Elunium,0,0
base,Armor,1,1,Normal,50,0,0,9000,90.00,100,Elunium,0,0
base,Armor,1,2,HD,100,0,0,8000,80.00,400,HD_Elunium,0,0
base,Armor,1,2,Normal,100,0,0,8000,80.00,200,Elunium,0,1
base,Armor,1,3,HD,150,0,0,7000,70.00,600,HD_Elunium,0,0
base,Armor,1,3,Normal,150,0,0,7000,70.00,300,Elunium,0,1
base,Armor,1,4,HD,200,0,0,6000,60.00,1000,Enriched_Elunium,0,0
base,Armor,1,4,Normal,200,0,0,6000,60.00,500,HD_Elunium,0,1
base,Armor,1,5,HD,250,0,0,5000,50.00,1500,Enriched_Elunium,0,0
base,Armor,1,5,Normal,250,0,0,5000,50.00,750,HD_Elunium,0,1
base,Armor,1,6,HD,300,0,0,4000,40.00,2000,Enriched_Elunium,0,0
base,Armor,1,6,Normal,300,0,0,4000,40.00,1000,HD_Elunium,0,1
base,Armor,1,7,HD,350,0,0,3000,30.00,4000,Jewel_Elunium,0,0
base,Armor,1,7,Normal,350,0,0,3000,30.00,2000,Enriched_Elunium,0,1
base,Armor,1,8,HD,400,0,0,2000,20.00,6000,Jewel_Elunium,0,0
base,Armor,1,8,Normal,400,0,0,2000,20.00,3000,Enriched_Elunium,0,1
base,Armor,1,9,HD,450,0,0,1000,10.00,8000,Jewel_Elunium,0,0
base,Armor,1,9,Normal,450,0,0,1000,10.00,4000,Enriched_Elunium,0,1
base,Armor,1,10,Normal,500,0,0,500,5.00,10000,Jewel_Elunium,0,1
base,Shadow_Armor,1,1,Normal,0,0,0,10000,100.00,1000,Shadowdecon,0,0
base,Shadow_Armor,1,2,HD,0,0,0,8000,80.00,4000,Jewel_Shadowdecon,0,0
base,Shadow_Armor,1,2,Normal,0,0,0,8000,80.00,2000,Shadowdecon,0,1
base,Shadow_Armor,1,3,HD,0,0,0,7000,70.00,6000,Jewel_Shadowdecon,0,0
base,Shadow_Armor,1,3,Normal,0,0,0,7000,70.00,3000,Shadowdecon,0,1
base,Shadow_Armor,1,4,HD,0,0,0,6000,60.00,8000,Jewel_Shadowdecon,0,0
base,Shadow_Armor,1,4,Normal,0,0,0,6000,60.00,4000,Shadowdecon,0,1
base,Shadow_Armor,1,5,HD,0,0,0,5000,50.00,10000,Jewel_Shadowdecon,0,0
base,Shadow_Armor,1,5,Normal,0,0,0,5000,50.00,5000,Shadowdecon,0,1
base,Shadow_Armor,1,6,HD,0,0,0,4000,40.00,15000,Jewel_Shadowdecon,0,0
base,Shadow_Armor,1,6,Normal,0,0,0,4000,40.00,7500,Shadowdecon,0,1
base,Shadow_Armor,1,7,HD,0,0,0,3000,30.00,20000,Jewel_Shadowdecon,0,0
base,Shadow_Armor,1,7,Normal,0,0,0,3000,30.00,10000,Shadowdecon,0,1
base,Shadow_Armor,1,8,HD,0,0,0,2000,20.00,30000,Jewel_Shadowdecon,0,0
base,Shadow_Armor,1,8,Normal,0,0,0,2000,20.00,15000,Shadowdecon,0,1
base,Shadow_Armor,1,9,HD,0,0,0,1000,10.00,40000,Jewel_Shadowdecon,0,0
base,Shadow_Armor,1,9,Normal,0,0,0,1000,10.00,20000,Shadowdecon,0,1
base,Shadow_Armor,1,10,Normal,0,0,0,500,5.00,50000,Jewel_Shadowdecon,0,1
base,Shadow_Weapon,1,1,Normal,0,0,0,10000,100.00,1000,Bradium,0,0
base,Shadow_Weapon,1,2,HD,0,0,0,8500,85.00,4000,HD_Bradium,0,0
base,Shadow_Weapon,1,2,Normal,0,0,0,8500,85.00,2000,Bradium,0,1
base,Shadow_Weapon,1,3,HD,0,0,0,7000,70.00,6000,HD_Bradium,0,0
base,Shadow_Weapon,1,3,Normal,0,0,0,7000,70.00,3000,Bradium,0,1
base,Shadow_Weapon,1,4,HD,0,0,0,5500,55.00,8000,HD_Bradium,0,0
base,Shadow_Weapon,1,4,Normal,0,0,0,5500,55.00,4000,Bradium,0,1
base,Shadow_Weapon,1,5,HD,0,0,0,4000,40.00,10000,HD_Bradium,0,0
base,Shadow_Weapon,1,5,Normal,0,0,0,4000,40.00,5000,Bradium,0,1
base,Shadow_Weapon,1,6,HD,0,0,0,2500,25.00,15000,HD_Bradium,0,0
